1,Pullups,Back
2,Pushups,Chest
3,Squat - Bodyweight,Legs
4,Squat - Goblet,Legs
5,Bicep Curls,Arms
6,Tricep Extension,Arms
7,Reverse Hyperextension,Back
8,Rows - Bodyweight,Back
9,Rows,Back
10,Squat - Somersault,Legs
12,Deadlift - Kettlebell,"Back, Legs"
13,Deadlift,"Back, Legs"
14,Romanian Deadlift - Bodyweight,"Back, Legs"
15,Romanian Deadlift - Kettlebell,"Back, Legs"
16,Romanian Deadlift,"Back, Legs"
17,Deadlift - Single Leg,"Back, Legs"
18,Chest Fly,Chest
19,Plank,Core
20,Bird Dog,Core
21,Side Plank,Core
22,McGill Curl Up,Core
23,Dips,Arms
24,Calf Raises,Legs
25,Chest Press - Dumbbell,Chest
26,Deadlift - Dumbbell,"Back, Legs"